Id,EventType,Message,DiscussionId,EventName,ModifiedBy,ModifiedDate,TopicId,UserId,Created,Suspended,PartnerId,IsDeleted,IsArchived,Title,WebsiteText,CTAMode,CTA,QuestionLabel,AnswerLabel,ButtonTitle,UnApprovedVideoCount,TotalVideoCount,OldestApprovedTime,ShortUrl,ActionButtonColor,CTAColor,TitleColor,NotificationContact,CustomFieldScreen,CustomFieldMessage,TreeCount,Randomize,FeaturedVideoUrl
213,Thread,,931,Edit,bd02f123-6f02-4278-83d9-8a4534a2892c,11/4/2020 2:02:41 PM,241,8cdc1d0c-10c7-42a4-af91-56f884006375,,,poff.ee,False,False,Video inbox on poff.ee/letschat,Connect with PÖFF community!,Text,Introduce a film and inspire the audience to ask questions!,audience,filmmaker,Record,0,0,1/1/0001 12:00:00 AM,,,,,,,,0,False,
1053,Thread,,931,Edit,bd02f123-6f02-4278-83d9-8a4534a2892c,11/12/2020 12:52:31 PM,241,8cdc1d0c-10c7-42a4-af91-56f884006375,,,poff.ee,False,False,Video inbox on poff.ee/letschat,Connect with PÖFF community!,Text,Introduce a film and inspire the audience to ask questions!,audience,filmmaker,Record,0,0,1/1/0001 12:00:00 AM,,3BB084,F39133,F39133,,,,0,False,
1980,Thread,,931,Edit,bd02f123-6f02-4278-83d9-8a4534a2892c,11/16/2020 4:18:11 PM,241,8cdc1d0c-10c7-42a4-af91-56f884006375,,,poff.ee,False,False,.Video inbox on poff.ee/letschat,Connect with PÖFF community!,Text,Introduce a film and inspire the audience to ask questions!,audience,filmmaker,Record,0,0,1/1/0001 12:00:00 AM,,3BB084,F39133,F39133,,,,0,False,
2292,Thread,,931,Edit,bd02f123-6f02-4278-83d9-8a4534a2892c,11/18/2020 7:17:41 PM,241,8cdc1d0c-10c7-42a4-af91-56f884006375,,,poff.ee,False,False,.Video inbox on poff.ee/letschat,Say hi and ask your questions from any PÖFF filmmaker!,Text,Record your video and chat with PÖFF filmmakers!,audience,filmmaker,Record,0,0,1/1/0001 12:00:00 AM,,3BB084,F39133,F39133,,,,0,False,
22131,Thread,,931,Edit,bd02f123-6f02-4278-83d9-8a4534a2892c,11/14/2021 9:06:48 AM,241,8cdc1d0c-10c7-42a4-af91-56f884006375,,,poff.ee,False,False,.Video inbox on poff.ee/letschat,Say hi and ask your questions from any PÖFF filmmaker!,Text,Record your video and chat with PÖFF filmmakers!,audience,filmmaker,Record,0,0,1/1/0001 12:00:00 AM,,#f39133,#ffffff,#f39133,,,,1,False,
