Id,EventType,Message,DiscussionId,EventName,ModifiedBy,ModifiedDate,TopicId,UserId,Created,Suspended,PartnerId,IsDeleted,IsArchived,Title,WebsiteText,CTAMode,CTA,QuestionLabel,AnswerLabel,ButtonTitle,UnApprovedVideoCount,TotalVideoCount,OldestApprovedTime,ShortUrl,ActionButtonColor,CTAColor,TitleColor,NotificationContact,CustomFieldScreen,CustomFieldMessage,TreeCount,Randomize,FeaturedVideoUrl
796,Thread,,936,Create,1254be62-d6b7-4cff-9ec4-e493c654864e,11/9/2020 6:09:14 PM,936,1254be62-d6b7-4cff-9ec4-e493c654864e,11/9/2020 6:09:14 PM,,,False,False,Introduce Yourself - SFS,Hello summit family! Thank you for joining us on this 2020 adventure. Take a moment to tell us a bit about yourself.,Text,Introduce Yourself and Meet The Community,Attendee,Special Guest,Reply,0,0,1/1/0001 12:00:00 AM,SanOFZnk,,,,,,,0,False,
797,Thread,,936,Edit,1254be62-d6b7-4cff-9ec4-e493c654864e,11/9/2020 6:09:32 PM,936,1254be62-d6b7-4cff-9ec4-e493c654864e,,,,False,False,Introduce Yourself - SFS,Hello summit family! Thank you for joining us on this 2020 adventure. Take a moment to tell us a bit about yourself.,Text,Introduce Yourself and Meet The Community,Attendee,Special Guest,Reply,0,0,1/1/0001 12:00:00 AM,,,,,,,,0,False,
815,Thread,,936,Edit,1254be62-d6b7-4cff-9ec4-e493c654864e,11/9/2020 6:26:57 PM,936,1254be62-d6b7-4cff-9ec4-e493c654864e,,,,False,False,Introduce Yourself - SFS,Thanks for joining the summit family. Tell us about yourself!,Text,Introduce Yourself and Meet The Community,Attendee,Special Guest,Reply,0,0,1/1/0001 12:00:00 AM,,,,,,,,0,False,
1032,Thread,,936,Edit,1254be62-d6b7-4cff-9ec4-e493c654864e,11/11/2020 5:44:39 PM,936,1254be62-d6b7-4cff-9ec4-e493c654864e,,,,False,False,Introduce Yourself - SFS,Thanks for joining the summit family. Tell us about yourself!,Text,Introduce Yourself and Meet The Community,Attendee,Special Guest,Reply,0,0,1/1/0001 12:00:00 AM,,,,,,,,0,False,
