Id,EventType,Message,VideoId,EventName,ModifiedBy,ModifiedDate,Video_Token,ThreadId,Tags,Created,SubmissionDate,VideoCreatorId,Reply_To,Weight,Position,Duration,VideoResolution,Views,CommunityManagerNotes,Custom_Label,Video_State,Video_Type,IsDeleted
810,Video,,1060,Created,System,11/9/2020 6:22:49 PM,r1f6250672e1a5104df768fa76473226,936,"submitted,{""threadId"":936},pending",11/9/2020 6:20:34 PM,11/9/2020 6:21:35 PM,,0,0,1,45.64,,0,,,Created,Normal,False
811,Video,,1060,CustomLabel,bbd3759b-77bc-42a5-9b45-07cae9d89760,11/9/2020 6:23:28 PM,r1f6250672e1a5104df768fa76473226,936,"submitted,{""threadId"":936},pending",11/9/2020 6:20:34 PM,11/9/2020 6:21:35 PM,,0,0,1,45.64,,0,,Message From Ben,Created,Normal,False
812,Video,,1060,CustomLabel,bbd3759b-77bc-42a5-9b45-07cae9d89760,11/9/2020 6:23:43 PM,r1f6250672e1a5104df768fa76473226,936,"submitted,{""threadId"":936},pending",11/9/2020 6:20:34 PM,11/9/2020 6:21:35 PM,,0,0,1,45.64,,0,,Message From The Founder,Created,Normal,False
813,Video,,1060,CustomLabel,bbd3759b-77bc-42a5-9b45-07cae9d89760,11/9/2020 6:24:00 PM,r1f6250672e1a5104df768fa76473226,936,"submitted,{""threadId"":936},pending",11/9/2020 6:20:34 PM,11/9/2020 6:21:35 PM,,0,0,1,45.64,,0,,Message From Ben Andrews,Created,Normal,False
814,Video,,1060,Publish,bbd3759b-77bc-42a5-9b45-07cae9d89760,11/9/2020 6:24:04 PM,r1f6250672e1a5104df768fa76473226,936,"submitted,{""threadId"":936},pending",11/9/2020 6:20:34 PM,11/9/2020 6:21:35 PM,,0,0,1,45.64,,0,,Message From Ben Andrews,Published,Normal,False
1035,Video,,1091,Created,System,11/11/2020 9:06:43 PM,r15260fd1d80c91d3fc025e6e76118ba,936,"submitted,{""threadId"":936},pending",11/11/2020 9:02:51 PM,11/11/2020 9:03:12 PM,,0,0,2,56.68,,0,,,Created,Normal,False
1036,Video,,1091,CustomLabel,bbd3759b-77bc-42a5-9b45-07cae9d89760,11/11/2020 11:35:57 PM,r15260fd1d80c91d3fc025e6e76118ba,936,"submitted,{""threadId"":936},pending",11/11/2020 9:02:51 PM,11/11/2020 9:03:12 PM,,0,0,2,56.68,,0,,Lynn Bohart - Panelist,Created,Normal,False
1037,Video,,1091,CMNote,bbd3759b-77bc-42a5-9b45-07cae9d89760,11/11/2020 11:36:07 PM,r15260fd1d80c91d3fc025e6e76118ba,936,"submitted,{""threadId"":936},pending",11/11/2020 9:02:51 PM,11/11/2020 9:03:12 PM,,0,0,2,56.68,,0,SFS TEAM MEMBER,Lynn Bohart - Panelist,Created,Normal,False
1038,Video,,1091,Publish,bbd3759b-77bc-42a5-9b45-07cae9d89760,11/11/2020 11:37:15 PM,r15260fd1d80c91d3fc025e6e76118ba,936,"submitted,{""threadId"":936},pending",11/11/2020 9:02:51 PM,11/11/2020 9:03:12 PM,,0,0,2,56.68,,0,SFS TEAM MEMBER,Lynn Bohart - Panelist,Published,Normal,False
1061,Video,,1100,Created,System,11/12/2020 3:15:41 PM,r181499aca0005e4fcf3cba0f91f0a04,936,"submitted,{""threadId"":936},pending",11/12/2020 3:11:32 PM,11/12/2020 3:14:19 PM,,0,0,3,52.28,,0,,,Created,Normal,False
